,titulo,num_reviews,rating
0,R Programming A-Z™: R For Data Science With Real Exercises!,37729,4.598679
1,Machine Learning A-Z™: Hands-On Python & R In Data Science,138700,4.5313725
2,Data Science and Machine Learning Bootcamp with R,12469,4.6348286
3,R Programming: Advanced Analytics In R For Data Science,6543,4.691761
4,R Programming for Statistics and Data Science 2020,2755,4.5722914
5,R Level 1 - Data Analytics with R,2264,4.3760424
6,R Programming For Absolute Beginners,2230,4.378657
7,Machine Learning & Deep Learning in Python & R,1389,4.3328414
8,Complete Machine Learning with R Studio - ML for 2021,1096,4.4124455
9,Statistics for Data Analysis Using R,1317,4.429638
10,Econometrics for Business in R and Python,110,4.5390635
11,Applied Statistical Modeling for Data Analysis in R,1117,4.185949
12,R Programming - R Language for Absolute Beginners,25,4.419213
13,Introduction to Time Series Analysis and Forecasting in R,1966,4.297888
14,R for Data Science: Learn R Programming in 2 Hours,163,4.226558
15,"Learn Data Science Deep Learning, Machine Learning NLP & R",571,4.4597793
16,Statistics with R - Beginner Level,1280,4.2139354
17,"The Data Visualization Course: Excel, Tableau, Python, R",339,4.528581
18,R for Beginners,141,4.593329
19,Ecology in R,161,4.47022
20,Machine Learning and Data Science Hands-on with Python and R,1264,3.8656726
21,Learn R By Intensive Practice,316,4.610283
22,Ecology in R,161,4.47022
23,The Complete R Programming for Data Science - 7 courses in 1,138,4.3740754
24,R Shiny Interactive Web Apps - Next Level Data Visualization,964,4.2802925
25,Practical Foundations of R Programming,55,4.4487457
26,Artificial Neural Networks (ANN) with Keras in Python and R,562,4.3556447
27,Cleaning Data In R with Tidyverse and Data.table,357,4.235119
28,Survival Analysis in R,186,4.255316
29,Maps with R Leaflet,208,4.682686
30,Text Mining and Natural Language Processing in R,610,4.1108356
31,Data Visualization with R and ggplot2,61,4.6971183
32,R Programming - R Language for Absolute Beginners,25,4.419213
33,Practical Neural Networks & Deep Learning In R,174,4.940301
34,Data Mining with R: Go from Beginner to Advanced!,359,4.1971784
35,Text Mining and Sentiment Analysis with Tableau and R,380,4.825031
36,Static and Interactive Data Visualizations in R,17,4.526962
37,Essential Fundamentals of R,174,4.5236597
38,Introduction to Machine Learning in R,192,4.239477
39,"The Data Visualization Course: Excel, Tableau, Python, R",339,4.528581
40,Essential Fundamentals of R,174,4.5236597
41,Graphs in R - Data Visualization with R Programming Language,223,3.9294171000000007
42,Applied Machine Learning in R,171,4.353872
43,Mastering Data Visualization with R,286,4.279588
44,Data Visualization with R and ggplot2,61,4.6971183
45,R Programming Hands-on Specialization for Data Science (Lv1),524,3.4460258
46,Statistics in R - The R Language for Statistical Analysis,265,4.303911
47,Introduction to R Programming,89,4.4325104
48,The Complete R Programming for Data Science - 7 courses in 1,138,4.3740754
49,Static and Interactive Data Visualizations in R,17,4.526962
50,Introduction to Machine Learning in R,192,4.239477
51,ML for Business Managers: Build Regression model in R Studio,230,4.3512626
52,The Complete Machine Learning and Data Science Course in R,13,4.6326904
53,Regression Analysis for Statistics & Machine Learning in R,466,4.067224
54,Image Recognition for Beginners using CNN in R Studio,161,4.4309397
55,Bayesian Computational Analyses with R,262,4.1408544
56,The Comprehensive Programming in R Course,221,4.290961
57,Data Mining with R: Go from Beginner to Advanced!,359,4.1971784
58,Tidy Data: Updated Data Processing With tidyr and dplyr in R,113,4.385426
59,Data Science and Machine Learning Masterclass with R,254,4.201406
